Id,Label,timeset,0,1,2,3,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
9446,9ndi,,None,None,0.333333,,0,1,1,0,1,1,10,0.212793,0.225462,0
9447,ecopetrolero,,None,None,1.202094,,0,1,1,0,1,1,11,0.175726,0.182926,0
9448,melalonsoo,,None,None,1.193878,,0,1,1,0,1,1,10,0.218646,0.233216,0
9449,VszquezDionicio,,None,None,23,,0,1,1,0,1,1,9,0.224286,0.237529,0
9450,gustavo39476358,,None,None,3.5,,0,1,1,0,1,1,11,0.179551,0.187583,0
9451,mabel_ruizdiaz,,None,None,1.287611,,0,2,2,0,2,2,9,0.213861,0.227645,0
9452,MonchaNotto,,None,None,3,,0,1,1,0,1,1,11,0.182789,0.191364,0
9453,OGGWRE3jX9gaqUD,,anr,anr,1.112676,,0,2,2,0,4,4,10,0.202759,0.211161,0
9454,carmencospf,,plra,plra,0.813084,,1,3,4,1,3,4,9,0.248259,0.267793,1534.342626
9455,anahileticia,,None,None,0.820843,,0,1,1,0,1,1,10,0.189439,0.197205,0
9456,taito58370914,,None,None,3.5,,0,1,1,0,1,1,10,0.200544,0.211058,0
9457,evecantero49,,plra,plra,2.086021,,0,1,1,0,1,1,10,0.208427,0.220137,0
9458,joakoprs,,None,None,1.673801,,0,0,0,0,0,0,0,0,0,0
9459,Eliseoveloso87,,anr,anr,2.174546,,1,1,2,1,1,2,11,0.169342,0.175733,0
9460,DoloresGandulfo,,None,None,0.711656,,0,1,1,0,1,1,11,0.164125,0.170626,0
9461,axelsanver,,None,None,0.861111,,0,1,1,0,1,1,9,0.20929,0.220842,0
9462,antogiacomuzzi,,None,None,1.922414,,0,1,1,0,1,1,9,0.219054,0.232049,0
9463,Rebeldefurioso,,None,None,2.007257,,0,1,1,0,1,1,1,1,1,0
9464,Raul2312,,None,None,2.730949,,0,1,1,0,1,1,10,0.181152,0.18935,0
9465,rodypereira1,,None,None,2.253886,,0,0,0,0,0,0,0,0,0,0
9466,Dieg0133,,None,None,0,,0,1,1,0,1,1,10,0.212793,0.225462,0
9467,ANDYC823,,None,None,1.290698,,3,2,5,4,5,9,9,0.205018,0.214875,0
9468,mirxcleboy,,None,None,1.092058,,0,3,3,0,3,3,10,0.20687,0.219185,0
9469,siliaza21,,None,None,3.192857,,0,1,1,0,1,1,10,0.196822,0.20614,0
9470,Expectativas01,,None,None,1.077778,,0,1,1,0,1,1,11,0.180685,0.1891,0
9471,cristinavivers,,None,None,0.468144,,0,1,1,0,1,1,10,0.207443,0.220767,0
9472,cnrs_19,,None,None,0.946387,,0,5,5,0,7,7,9,0.234837,0.253171,0
9473,M6r3c0LYBUUfmHW,,anr,anr,3.113208,,0,10,10,0,10,10,9,0.222336,0.239437,0
9474,Cheko1990,,None,None,1,,0,1,1,0,1,1,10,0.212793,0.225462,0
9475,LeoPere09328511,,None,None,2.949152,,0,1,1,0,1,1,9,0.21015,0.222392,0
9476,GracielaArceD,,None,None,0.306122,,0,4,4,0,4,4,10,0.218427,0.233345,0
9477,Fabiana_Meza1,,None,None,2.726191,,0,1,1,0,1,1,9,0.243695,0.261159,0
9478,NellySanabria14,,None,None,4.105263,,0,1,1,0,1,1,11,0.175549,0.1826,0
